Lake,Number_Nests,Number_Females,Watershed,Surface_Area_ha,Perimeter_m,LPratio,Mass_d13C_cor,Mass_d15Nres_cor,Fish_per_Transect,Nest_Density_invMNND,NumGeno,NumMismatch,NumMatch,PropMismatch
Blackwater,58,25,Amor de Cosmos,37.5,5750,153.33,0.165,0.265,0,0.123,24,12,12,0.4897959
Boot,52,0,Campbell,98.67,6325,64.1,0.045,0.073,2.33,0.183,51,14,37,0.2730402
Browns Bay,52,0,Browns Bay,7.9,1750,221.52,0.043,0.639,0,0.175,35,18,17,0.5068383
Cranberry,52,0,Mohun,5.7,1400,245.61,0.24,-0.149,0.4,0.121,44,16,28,0.3606557
Echo,62,0,Campbell,20.6,3150,152.91,-0.203,0.208,0.8,0.255,62,14,48,0.224987
Gosling,56,0,Campbell,62.5,6608,105.73,0.125,-0.174,1.5,0.323,54,27,27,0.4954128
Gray,58,0,Campbell,52.9,5320,100.57,0.341,-0.028,1,0.12,57,27,30,0.4697802
Lawson,58,0,Campbell,22.9,2810,122.71,0.077,0.278,0.33,0.145,53,35,18,0.6522504
Little Mud,24,16,Amor de Cosmos,4.4,1012,230,-0.184,0.118,1,0.031,24,8,16,0.3287671
Merrill,53,0,Campbell,65.62,3600,54.86,0.097,0.171,1,0.105,53,24,29,0.448994
Mohun,61,0,Mohun,620.9,31207,50.26,0.141,0.223,3.71,0.181,61,34,27,0.5523302
Ormond,61,0,Amor de Cosmos,5.6,1230,219.64,0.05,0.418,0.29,0.108,51,18,33,0.3505155
Pye,51,0,Pye,369.8,13200,35.69,-0.152,-0.322,2,0.094,47,24,23,0.50515
Roberts,62,28,Amor de Cosmos,160,8175,51.09,0.241,-0.132,0.67,0.243,44,20,24,0.4498978
Village Bay,61,0,Village Bay,76,9900,130.26,-0.069,0.316,3.38,0.245,58,32,26,0.5465253
