FishID,Lake,Date,Time,NestDepth_cm,Veg_Present,Longitude_UTM_10,Latitude_UTM_10,Male_Mass_g,Num_clutches,Male_d13C,Male_d15N,Male_d15Nres,Egg_d13C,Egg_d15N,Egg_d15Nres,clutch1_egg1,clutch1_egg2,clutch2_egg1,clutch2_egg2,clutch3_egg1,clutch3_egg2,clutch1_mismatch,clutch2_mismatch,clutch3_mismatch,num_geno,num_mismatch,any_mismatch,NNdist,Substrate,VegStruct,AnyStructure,Male_Zd13C,Male_Zd15N
BLA-A13-01,Blackwater,6/18/13,11:09,25,1,315245,5561731,1.26,1,-27.56,9.49,0.53,-26.92,6.71,0.17,incl,incl,NA,NA,NA,NA,FALSE,NA,NA,1,0,FALSE,10.77032961,D,C,TRUE,-1.884733954,1.734214318
BLA-A13-02,Blackwater,6/18/13,11:15,40,0,315254,5561752,1.4,1,-22.64,8.42,-0.36,-21.24,6.17,-0.39,incl,incl,NA,NA,NA,NA,FALSE,NA,NA,1,0,FALSE,7.071067812,D,A,FALSE,0.881727036,-1.104755362
BLA-A13-03,Blackwater,6/18/13,11:29,40,0,315251,5561803,1.45,1,-22.13,8.77,0.01,-23.03,6.54,-0.01,excl,excl,NA,NA,NA,NA,TRUE,NA,NA,1,1,TRUE,7.280109889,D,E,TRUE,1.168494334,-0.17612042
BLA-A13-04,Blackwater,6/18/13,11:34,35,1,315216,5561765,1.88,1,-21.64,9.07,0.33,-21.52,6.36,-0.2,incl,incl,NA,NA,NA,NA,FALSE,NA,NA,1,0,FALSE,12.16552506,D,B,TRUE,1.444015855,0.619852387
BLA-A13-05,Blackwater,6/18/13,12:00,40,1,315241,5561741,1.34,1,-24.94,8.77,-0.09,-25.12,6.21,-0.34,incl,incl,NA,NA,NA,NA,FALSE,NA,NA,1,0,FALSE,10.77032961,D,C,TRUE,-0.411537248,-0.17612042
BLA-A13-06,Blackwater,6/18/13,12:06,30,0,315242,5561800,2.17,1,-22.8,8.8,0.02,-21.97,6.06,-0.49,excl,excl,NA,NA,NA,NA,TRUE,NA,NA,1,1,TRUE,9.486832981,D,D,TRUE,0.791760825,-0.096523139
BLA-A13-07,Blackwater,6/18/13,12:22,135,0,315262,5561889,1.79,1,-24.14,8.64,-0.19,-23.11,6.46,-0.09,incl,incl,NA,NA,NA,NA,FALSE,NA,NA,1,0,FALSE,3.605551275,D,D,TRUE,0.038293808,-0.52104197
BLA-A13-08,Blackwater,6/18/13,12:25,20,0,315300,5561909,1.56,1,-23.64,8.67,-0.14,-24.82,7.28,0.73,excl,excl,NA,NA,NA,NA,TRUE,NA,NA,1,1,TRUE,11.40175425,D,A,FALSE,0.319438217,-0.441444689
BLA-A13-09,Blackwater,6/24/13,12:08,20,1,315266,5561808,1.41,1,-29.82,9.16,0.11,-23.7,7.38,0.83,incl,incl,NA,NA,NA,NA,FALSE,NA,NA,1,0,FALSE,6.08276253,D,BC,TRUE,-3.155506685,0.85864423
BLA-A13-10,Blackwater,6/24/13,12:14,65,1,315125,5561700,2.39,1,-21.23,8.55,-0.17,-21.97,5.71,-0.84,incl,incl,NA,NA,NA,NA,FALSE,NA,NA,1,0,FALSE,20.09975124,D,CD,TRUE,1.674554271,-0.759833812
BLA-A13-11,Blackwater,6/24/13,12:17,40,1,315207,5561739,1.6,1,-23.9,8.47,-0.35,-26.14,6.07,-0.47,incl,incl,NA,NA,NA,NA,FALSE,NA,NA,1,0,FALSE,3,D,B,TRUE,0.173243124,-0.972093227
BLA-A13-12,Blackwater,6/24/13,12:20,65,1,315222,5561829,1.85,1,-27.07,8.8,-0.14,-22.37,6.18,-0.37,excl,excl,NA,NA,NA,NA,TRUE,NA,NA,1,1,TRUE,9.899494937,D,BD,TRUE,-1.609212432,-0.096523139
BLA-A13-13,Blackwater,6/24/13,12:26,40,1,315203,5561728,2.11,1,-21.47,9.15,0.42,-26.76,6.14,-0.4,incl,incl,NA,NA,NA,NA,FALSE,NA,NA,1,0,FALSE,1.414213562,D,CD,TRUE,1.539604954,0.832111803
BLA-A13-14,Blackwater,6/24/13,12:30,20,1,315249,5561886,2.24,1,-25.17,8.82,-0.05,-21.85,6.75,0.19,incl,incl,NA,NA,NA,NA,FALSE,NA,NA,1,0,FALSE,4.123105626,D,B,TRUE,-0.540863676,-0.043458285
BLA-A13-15,Blackwater,6/24/13,12:39,65,1,315164,5561697,1.67,1,-23.12,8.31,-0.49,-21.04,6.83,0.27,excl,excl,incl,excl,NA,NA,TRUE,TRUE,NA,2,2,TRUE,2.828427125,log,BD,TRUE,0.611828403,-1.396612058
BLA-A13-16,Blackwater,6/24/13,12:41,90,0,315178,5561703,1.27,1,-25.6,8.62,-0.27,-25.99,5.23,-1.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,3.605551275,D,E,TRUE,-0.782647868,-0.574106824
BLA-A13-17,Blackwater,6/24/13,12:46,15,0,315249,5561869,1.68,1,-24.67,9.08,0.23,-24.2,5.93,-0.62,excl,incl,NA,NA,NA,NA,TRUE,NA,NA,1,1,TRUE,13.03840481,D,A,FALSE,-0.259719267,0.646384814
BLA-A13-18,Blackwater,6/24/13,12:59,60,0,315247,5561753,1.61,1,-22.36,9.06,0.29,-28.05,6.45,-0.09,incl,incl,NA,NA,NA,NA,FALSE,NA,NA,1,0,FALSE,7.071067812,D,A,FALSE,1.039167905,0.59331996
BLA-A13-19,Blackwater,6/24/13,13:03,45,0,315250,5561882,1.45,1,-24.78,9.07,0.21,-21.72,7.5,0.94,incl,incl,NA,NA,NA,NA,FALSE,NA,NA,1,0,FALSE,4.123105626,log,DE,TRUE,-0.321571037,0.619852387
BLA-A13-20,Blackwater,6/24/13,13:11,25,1,315214,5561753,1.45,1,-22.71,8.33,-0.45,-24.46,6.44,-0.11,NA,excl,NA,NA,NA,NA,TRUE,NA,NA,1,1,TRUE,12.16552506,D,B,TRUE,0.842366819,-1.343547204
BLA-A13-21,Blackwater,6/24/13,13:17,20,0,315253,5561885,1.35,1,-26.31,8.68,-0.24,-21.81,7.7,1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,3.605551275,D,D,TRUE,-1.18187293,-0.414912262
BLA-A13-22,Blackwater,6/24/13,13:23,35,0,315206,5561697,2.92,1,-23.36,9.51,0.71,-21.63,6.61,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,16.76305461,D,A,FALSE,0.476879086,1.787279171
